2023012611250014,,,,,,,
069,28-12-2022,29-01-2023,1651,FILET DE PECHUGA,755.06,899,899
069,28-12-2022,29-01-2023,1660,OFERTA PATA MUSLO,284.79,333,333
069,28-12-2022,29-01-2023,2651,PIZZA CASERA,351.67,599,599
069,28-12-2022,29-01-2023,1120,COSTELETA DE CERDO,726.62,869,869
069,28-12-2022,29-01-2023,1500,MEDALLONES FRIAR 2X55G,79.04,119,119
069,28-12-2022,29-01-2023,1503,HAMBURGUESAS FRIAR 2X80G,163.14,229,229
069,28-12-2022,29-01-2023,3393,HELADO ACAPULCO 3L 4 GUS,577.08,999,999
063,09-01-2023,29-01-2023,1651,FILET DE PECHUGA,755.06,899,899
063,09-01-2023,29-01-2023,2651,PIZZA CASERA,351.67,549,549
063,09-01-2023,29-01-2023,1120,COSTELETA DE CERDO,726.62,869,869
063,09-01-2023,29-01-2023,1500,MEDALLONES FRIAR 2X55G,77.8,119,119
063,09-01-2023,29-01-2023,1503,HAMBURGUESAS FRIAR 2X80G,163.14,249,249
063,09-01-2023,29-01-2023,1660,OFERTA PATA MUSLO,270.45,333,333
063,09-01-2023,29-01-2023,3393,HELADO ACAPULCO 3L 4 GUS,712.63,999,999
